id,total,title
18,172916,Démocrite amoureux
856,28637,
1218,7967,Les Journalistes anglais
1345,313490,Trois frères rivaux (Les)
1346,276893,Triple mariage (Le)
1350,561227,Esprit de contradiction (L')
4832,8523,Abdir
4833,5705,Abdolonime ou le Roi berger
4834,43564,Absalon
4835,29975,Adélaïde de Hongrie
4836,189369,Adélaïde du Guesclin
4837,39603,Adélaïde ou l'Antipathie pour l'amour
4839,29154,"Adèle de Ponthieu ou Adèle, comtesse de Ponthieu"
4840,6915,Agathocle
4841,25074,Agis
4842,41773,"Agrippa, roi d'Albe  /  le Faux Tiberinus (titre alt.)  / Tiberinus (titre alt.)"
4843,2641,Ajax
4844,4447,Albert et Émilie
4845,26406,Albert premier ou Adeline
4846,8012,Alcidonis ou la Journée lacédémonienne
4847,3148,Alphée et Zarine
4848,12259,Alzaïde
4849,414873,Alzire ou les Américains
4850,10992,Amalazonte
4851,62854,Amasis
4852,46614,Amélie ou le Duc de Foix ou Le Duc de Foix
4853,3038,Amélise
4854,2523,Aménophis
4855,13106,Amestris
4856,40264,Amour pour amour
4857,584122,Amphitryon
4858,407074,Andromaque
4859,178648,Andronic
4860,8609,Annibal /  La Mort d'Annibal (titre alt.)
4861,3923,Antigone ou la Piété fraternelle
4862,3313,Antipater
4863,2927,Apelle et Campaspe
4864,14417,Aphos
4865,289735,Ariane
4866,40243,Aristomène
4867,23065,Artaxerce
4868,24066,Astarbé
4869,47763,"Astrate, roi de Tyr"
4870,3991,Astyanax
4871,3958,Astyanax
4872,398936,Athalie
4873,6703,Antoine et Cléopâtre
4874,40025,Atrée et Thyeste
4875,238523,Attendez-moi sous l’orme
4876,12145,Augusta
4877,142597,Auguste et Théodore ou les Deux pages
4878,4893,Azémire
4879,218009,Bajazet
4880,8688,Barnevelt
4881,107118,Bérénice
4882,126111,Beverlei
4883,35477,Blanche et Guiscard
4884,27473,Briséis ou la colère d'Achille
4885,370378,Britannicus
4886,168467,Brutus
4887,9264,Caïus Marcius Coriolan ou le Danger d'offenser un grand homme
4888,12868,Caliste ou la Belle pénitente
4889,26767,Caliste
4890,57268,Catilina
4891,107389,Cénie
4892,12496,Céramis
4893,138473,Charles IX ou l'École des rois
4894,271351,Cinna ou la Clémence d'Auguste
4895,27308,Clémentine et Desormes
4896,23965,Cléopâtre
4897,240182,Colin-Maillard
4898,33864,Coriolan
4899,7620,Coriolan
4900,6075,Corneille aux Champs-Élysées
4901,13970,Cosroès
4902,3704,Cosroès
4903,54593,Crispin bel esprit
4904,575782,Crispin médecin
4906,11883,Crispin précepteur
4907,440010,Crispin rival de son maître
4908,8159,Cromwel
4910,53419,Denis le tyran
4911,30392,Deucalion et Pirrha
4912,182034,Didon
4914,201734,Don Japhet d'Arménie
4915,8156,Dom Pasquin d'Avalos
4916,44189,Don Sanche d'Aragon
4917,8028,Dorval ou le Fou par amour
4918,202360,Dupuis et Desronais - Dupuis et des Renais - Dupuis et des Ronais
4919,3618,Edgar ou le Page supposé
4920,1275,Égérie
4921,3571,Égyptus
4922,198403,Électre
4923,3976,Épicaris ou la Mort de Néron
4924,6090,Éponine
4925,1793,Éricie ou la Vestale
4926,136724,Ésope à la cour
4927,137375,Eugénie
4928,13337,Fernand-Cortès
4929,3185,Florinde
